,Calorie,Cook_time_all,Cuisine,OriginalIngredients,People_made_it,Rating,Ready_time,Review,Serve_size,index,title,Preparation_time,Cook_time,Total_time,Ingredients,Merge_recipes
0,806.0,"['Prep time: 5 Minutes', 'Cook time: 18 Minutes', 'Ready in 23 Minutes']",Italian,"['1 pound spaghetti', '6 tablespoons olive oil', '2 cloves garlic, minced', '2 teaspoons ground black pepper', '1 3/4 cups grated Pecorino Romano cheese']",758.0,4.56650257110596,23 m,163.0,4,0.0,Spaghetti Cacio e Pepe,5.0,18.0,23.0, pound spaghetti  tablespoons olive oil  cloves garlic  minced  teaspoons ground black pepper   cups grated Pecorino Romano chee,Europian
1,289.0,"['Prep time: 20 Minutes', 'Cook time: 36 Minutes', 'Ready in 56 Minutes']",Italian,"['2 stalks stalk celery, chopped into 1/4-inch pieces', '1/2 cup olive oil', '1 onion, thinly sliced', '1 medium eggplant, chopped into bite-size pieces', '2 red bell peppers, thinly sliced', '2 zucchini, cubed', '1 3/4 cups tomato puree (passata)', '1/2 cup white vinegar', '1 tablespoon white sugar', '10 black olives, pitted', '2 tablespoons raisins', '2 tablespoons pine nuts', '1 teaspoon capers', 'salt and ground black pepper to taste', '10 leaves basil, chopped']",8.0,4.66666650772095,56 m,3.0,6,1.0,Easy Caponata,20.0,36.0,56.0, stalks stalk celery  chopped into  inch pieces  cup olive oil  onion  thinly sliced  medium eggplant  chopped into bite size pieces  red bell peppers  thinly sliced  zucchini  cubed   cups tomato puree passata  cup white vinegar  tablespoon white sugar  black olives  pitted  tablespoons raisins  tablespoons pine nuts  teaspoon capers salt and ground black pepper to taste  leaves basil  chopp,Europian
2,94.0,"['Prep time: 10 Minutes', 'Ready in 3 Hours 10 Minutes']",Italian,"['4 cups cold water', '7/8 cup white sugar', '2 tablespoons lemon zest', '1 cup freshly squeezed lemon juice', '1 teaspoon lemon extract']",61.0,4.66666650772095,3 h 10 m,11.0,8,2.0,Chef John's Lemon Ice,10.0,190.0,200.0, cups cold water  cup white sugar  tablespoons lemon zest  cup freshly squeezed lemon juice  teaspoon lemon extra,Europian
3,186.0,"['Prep time: 40 Minutes', 'Cook time: 15 Minutes', 'Ready in 1 Hour 55 Minutes']",Italian,"['2 cups all-purpose flour', '1/2 cup cold water', '2 tablespoons cold water', '1 tablespoon extra-virgin olive oil', '3/4 teaspoon fine salt', '1 quarter-sheet baking pan', '1 teaspoon extra-virgin olive oil', '1 teaspoon cornmeal', '12 tablespoons crescenza-stracchino cheese, divided', '4 teaspoons extra-virgin olive oil, divided', '1/4 teaspoon coarse sea salt, divided']",26.0,4.59999990463257,1 h 55 m,17.0,8,3.0,Focaccia di Recco,40.0,15.0,55.0, cups all purpose flour  cup cold water  tablespoons cold water  tablespoon extra virgin olive oil  teaspoon fine salt  quarter sheet baking pan  teaspoon extra virgin olive oil  teaspoon cornmeal  tablespoons crescenza stracchino cheese  divided  teaspoons extra virgin olive oil  divided  teaspoon coarse sea salt  divid,Europian
4,267.0,"['Prep time: 20 Minutes', 'Cook time: 34 Minutes', 'Ready in 1 Hour 4 Minutes']",Italian,"['3 tablespoons extra-virgin olive oil, divided', '1 small white onion, finely chopped', '1 bunch parsley, stems and leaves chopped separately', '3 zucchini, cut into long, thin strips', 'salt and ground black pepper to taste', '7 1/2 cups zucchini blossoms, pistils removed', '6 eggs', '3 tablespoons grated Parmesan cheese', '1 tablespoon grated Pecorino Romano cheese', '4 leaves fresh mint, chopped']",1.0,4.5,1 h 4 m,1.0,4,4.0,Frittata di Zucchine e Fiori di Zucca (Italian Courgette Frittata),20.0,34.0,54.0, tablespoons extra virgin olive oil  divided  small white onion  finely chopped  bunch parsley  stems and leaves chopped separately  zucchini  cut into long  thin strips salt and ground black pepper to taste   cups zucchini blossoms  pistils removed  eggs  tablespoons grated Parmesan cheese  tablespoon grated Pecorino Romano cheese  leaves fresh mint  chopp,Europian
5,506.0,"['Prep time: 20 Minutes', 'Cook time: 54 Minutes', 'Ready in 1 Hour 17 Minutes']",Italian,"['1/2 cup extra-virgin olive oil, or as needed', '6 eggplants, trimmed and cut into 1/2-inch thick slices', 'salt to taste', '1 1/3 cups crushed tomatoes in puree', '1 tablespoon olive oil, or more to taste', '2 cloves garlic', '1 bunch fresh basil, divided', '18 ounces fresh mozzarella cheese, drained and sliced', 'dried oregano, to taste', '4 ounces grated Parmesan cheese']",5.0,4.0,1 h 17 m,2.0,6,5.0,Melanzana alla Parmigiana (Perfect Eggplant Parmigiana),20.0,54.0,74.0, cup extra virgin olive oil  or as needed  eggplants  trimmed and cut into  inch thick slices salt to taste   cups crushed tomatoes in puree  tablespoon olive oil  or more to taste  cloves garlic  bunch fresh basil  divided  ounces fresh mozzarella cheese  drained and sliced dried oregano  to taste  ounces grated Parmesan chee,Europian
6,109.0,"['Prep time: 5 Minutes', 'Ready in 12 Hours 5 Minutes']",Italian,"['2/3 cup medium-coarse ground coffee', '3 cups cold water', '2 scoops vanilla ice cream', '2 tablespoons shaved dark chocolate']",29.0,4.699999809265139,12 h 5 m,8.0,2,6.0,Affogato with Cold-Brewed Coffee,5.0,725.0,730.0, cup medium coarse ground coffee  cups cold water  scoops vanilla ice cream  tablespoons shaved dark chocola,Europian
7,448.0,"['Prep time: 30 Minutes', 'Cook time: 2 Hours 30 Minutes', 'Ready in 3 Hours 15 Minutes']",Italian,"['1 pound sweet Italian sausage', '3/4 pound lean ground beef', '1/2 cup minced onion', '2 cloves garlic, crushed', '1 (28 ounce) can crushed tomatoes', '2 (6 ounce) cans tomato paste', '2 (6.5 ounce) cans canned tomato sauce', '1/2 cup water', '2 tablespoons white sugar', '1 1/2 teaspoons dried basil leaves', '1/2 teaspoon fennel seeds', '1 teaspoon Italian seasoning', '1 1/2 teaspoons salt, divided, or to taste', '1/4 teaspoon ground black pepper', '4 tablespoons chopped fresh parsley', '12 lasagna noodles', '16 ounces ricotta cheese', '1 egg', '3/4 pound mozzarella cheese, sliced', '3/4 cup grated Parmesan cheese']",31000.0,4.79172420501709,3 h 15 m,12000.0,12,7.0,World's Best Lasagna,30.0,150.0,180.0, pound sweet Italian sausage  pound lean ground beef  cup minced onion  cloves garlic  crushed   ounce can crushed tomatoes   ounce cans tomato paste   ounce cans canned tomato sauce  cup water  tablespoons white sugar   teaspoons dried basil leaves  teaspoon fennel seeds  teaspoon Italian seasoning   teaspoons salt  divided  or to taste  teaspoon ground black pepper  tablespoons chopped fresh parsley  lasagna noodles  ounces ricotta cheese  egg  pound mozzarella cheese  sliced  cup grated Parmesan chee,Europian
8,448.0,"['Prep time: 10 Minutes', 'Cook time: 20 Minutes', 'Ready in 30 Minutes']",Italian,"['1/4 cup all-purpose flour for coating', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '1/2 teaspoon dried oregano', '4 skinless, boneless chicken breast halves - pounded 1/4 inch thick', '4 tablespoons butter', '4 tablespoons olive oil', '1 cup sliced mushrooms', '1/2 cup Marsala wine', '1/4 cup cooking sherry']",8000.0,4.54315376281738,30 m,3000.0,4,8.0,Chicken Marsala,10.0,20.0,30.0, cup all purpose flour for coating  teaspoon salt  teaspoon ground black pepper  teaspoon dried oregano  skinless  boneless chicken breast halves   pounded  inch thick  tablespoons butter  tablespoons olive oil  cup sliced mushrooms  cup Marsala wine  cup cooking sher,Europian
9,119.0,"['Prep time: 30 Minutes', 'Cook time: 20 Minutes', 'Ready in 1 Hour 50 Minutes']",Italian,"['2 1/4 teaspoons active dry yeast', '1/2 teaspoon brown sugar', '1 1/2 cups warm water (110 degrees F/45 degrees C)', '1 teaspoon salt', '2 tablespoons olive oil', '3 1/3 cups all-purpose flour']",4000.0,4.69378662109375,1 h 50 m,3000.0,15,9.0,Jay's Signature Pizza Crust,30.0,20.0,50.0,  teaspoons active dry yeast  teaspoon brown sugar   cups warm water  degrees F degrees C  teaspoon salt  tablespoons olive oil   cups all purpose flo,Europian
